peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
6.82064,1.3812386295648906,8.744736,0.9850392956421626,5.393942982000582,235.14032780023084,0.11,1.4598881316308283,1.4272200000000002,7.28271,False,2026-06-24T19:20:05.330Z,5572.297,5656,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
15.18215,2.414061423018298,8.652264,6.005789844178714,7.260207739901111,913.3874233396252,0.04,5.334489471470872,0.96086,14.1572,True,2026-06-24T19:20:06.773Z,5573.74,5801,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.92336,1.2042774968054952,3.1966806666666665,2.2145754461131446,2.7612341794651662,432.40054725797927,0.019,2.3201857479575243,0.27156,10.50624,False,2026-06-24T19:20:07.878Z,5574.845,5912,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.7271,1.3042811346910843,4.564499333333333,2.896909392006051,3.787979629056453,674.5253520370754,0.03,3.439404454632698,1.02709,9.45214,False,2026-06-24T19:29:45.390Z,6152.357,5964,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.51755,1.3692072487349012,6.532348,2.7790644396088853,4.503235792678416,661.9151623591954,0.02,2.3156752398251004,0.95792,6.98321,False,2026-06-24T19:29:47.112Z,6154.079,6137,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.09824,1.2666690804841783,6.17161125,1.9663651876018056,4.312093737279056,427.691675287233,0.079,3.662815944564109,0.7037899999999999,10.49218,True,2026-06-24T19:29:49.282Z,6156.249,6355,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.40855,1.1301690125555524,3.8094893333333335,2.676293419892866,3.1140059825911277,405.2918316090271,0.03,1.7279976495668063,0.68813,6.164899999999999,False,2026-06-24T19:29:50.147Z,6157.114,6442,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
15.23239,1.7448685378670046,5.254983125,3.8928129330833374,4.966768733821694,1353.931105537948,0.051,6.8313956807359295,0.53452,10.32127,True,2026-06-24T19:29:53.532Z,6160.499,6782,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.36772,0.8667763148579982,3.045016,1.7619662404558991,2.272094429873569,539.2663654948266,0.02,2.3839438905308,0.48749,5.6676,False,2026-06-24T19:29:54.337Z,6161.304,6863,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.29769,1.3416448684475943,4.587240666666667,1.8812514228904165,3.481825083712085,305.48777283714645,0.035,1.8727862447528172,1.03158,8.21018,False,2026-06-24T19:29:55.303Z,6162.27,6960,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
